texto,etiqueta,variante_limpia,instrumento_rol,notas,mismo_que
Eduardo Toldrá,COMPOSITOR,Eduardo Toldrá,,,
Edvard Grieg,COMPOSITOR,Edvard Grieg,,,
Eiman,COMPOSITOR,Eiman,,Extraído de combinación: Beethoven-Eiman,
Elman,COMPOSITOR,Elman,,Extraído de combinación: Grieg-Elman,Mischa Elman
Emilio Arrieta,COMPOSITOR,Emilio Arrieta,,,
Emmerich Kálmán,COMPOSITOR,Emmerich Kálmán,,,
Engelbert Humperdinck,COMPOSITOR,Engelbert Humperdinck,,,
Enrique Granados,COMPOSITOR,Enrique Granados,,,
Erick Wolf Strauss,COMPOSITOR,Erick Wolf Strauss,,,
Ermanno Wolf,COMPOSITOR,Ermanno Wolf,,Extraído de combinación: Ermanno Wolf-Ferrari,
Ermanno Wolf-Ferrari,COMPOSITOR,Ermanno Wolf-Ferrari,,Combinación de artistas,
Ernesto Halffter,COMPOSITOR,Ernesto Halffter,,,
Ernesto Pérez Rosillo,COMPOSITOR,Ernesto Pérez Rosillo,,,
Errico Petrella,COMPOSITOR,Errico Petrella,,,
Esteve,COMPOSITOR,Esteve,,,
F. Elizalde,COMPOSITOR,F. Elizalde,,,Federico Elizalde
Federico Elizalde,COMPOSITOR,Federico Elizalde,,,
Federico García Lorca,COMPOSITOR,Federico García Lorca,,,
Federico Moreno Torroba,COMPOSITOR,Federico Moreno Torroba,,,
Felipe Briones,COMPOSITOR,Felipe Briones,,,
Felix Mendelssohn,COMPOSITOR,Felix Mendelssohn,,,
Fernando Remacha,COMPOSITOR,Fernando Remacha,,,
Ferrari,COMPOSITOR,Ferrari,,Extraído de combinación: Ermanno Wolf-Ferrari,
Foglietti,COMPOSITOR,Foglietti,,,
Francesco Paolo Tosti,COMPOSITOR,Francesco Paolo Tosti,,,
Francisco Alonso,COMPOSITOR,Francisco Alonso,,,
Francisco Asenjo Barbieri,COMPOSITOR,Francisco Asenjo Barbieri,,,
Francisco Guerrero,COMPOSITOR,Francisco Guerrero,,,
Franco Alfano,COMPOSITOR,Franco Alfano,director,,
Francoeur,COMPOSITOR,Francoeur,,,
Francoeur-Kreisler,COMPOSITOR,Francoeur-Kreisler,,Combinación de artistas,
Franz Lehár,COMPOSITOR,Franz Lehár,,,
Franz Liszt,COMPOSITOR,Franz Liszt,,,
Franz Schubert,COMPOSITOR,Franz Schubert,,,
Franz von Suppé,COMPOSITOR,Franz von Suppé,,,
François Couperin,COMPOSITOR,François Couperin,,,
François-Adrien Boieldieu,COMPOSITOR,François-Adrien Boieldieu,,,
Freitas Branco,COMPOSITOR,Freitas Branco,,,
Frescobaldi,COMPOSITOR,Frescobaldi,,Extraído de combinación: Frescobaldi-Cassadó,
Frescobaldi-Cassadó,COMPOSITOR,Frescobaldi-Cassadó,,Combinación de artistas,
Friedemann Bach,COMPOSITOR,Friedemann Bach,,,
Froberger,COMPOSITOR,Froberger,,,
Frédéric Chopin,COMPOSITOR,Frédéric Chopin,,,
Gabriel Fauré,COMPOSITOR,Gabriel Fauré,,,
Gaetano Donizetti,COMPOSITOR,Gaetano Donizetti,,,
Gaillard,COMPOSITOR,Gaillard,,,
Galeotti,COMPOSITOR,Galeotti,,,
Galuppi,COMPOSITOR,Galuppi,,,
Gaspar Cassadó,COMPOSITOR,Gaspar Cassadó,,,
Gaspar de Aquino,COMPOSITOR,Gaspar de Aquino,,,
Georg Friedrich Händel,COMPOSITOR,Georg Friedrich Händel,,,
George Rossa,COMPOSITOR,George Rossa,,,
Georges Bizet,COMPOSITOR,Georges Bizet,,,
Gerardo Gombau,COMPOSITOR,Gerardo Gombau,,,
Giacomo Meyerbeer,COMPOSITOR,Giacomo Meyerbeer,,,
Giacomo Puccini,COMPOSITOR,Giacomo Puccini,,,
Gioachino Rossini,COMPOSITOR,Gioachino Rossini,,,
Giovanni Battista Pergolesi,COMPOSITOR,Giovanni Battista Pergolesi,,,
Giovanni Pacini,COMPOSITOR,Giovanni Pacini,,,
Giovanni Paisiello,COMPOSITOR,Giovanni Paisiello,,,
Giuseppe Verdi,COMPOSITOR,Giuseppe Verdi,,,
Glinka,COMPOSITOR,Glinka,,,
Glinka-Sokoloff,COMPOSITOR,Glinka-Sokoloff,,Combinación de artistas,
Gluck,COMPOSITOR,Gluck,,Extraído de combinación: Gluck-Brahms,Christoph Willibald Gluck
Gluck-Brahms,COMPOSITOR,Gluck-Brahms,,Combinación de artistas,
Gluck-Ries,COMPOSITOR,Gluck-Ries,,Combinación de artistas,
Gondelfarht,COMPOSITOR,Gondelfarht,,,
Goossens,COMPOSITOR,Goossens,,,
Grave,COMPOSITOR,Grave,,,
Gretchaninoff,COMPOSITOR,Gretchaninoff,,,
Grieg,COMPOSITOR,Grieg,,Extraído de combinación: Grieg-Elman,Edvard Grieg
Grieg-Elman,COMPOSITOR,Grieg-Elman,,Combinación de artistas,
Grétry,COMPOSITOR,Grétry,,Extraído de combinación: Grétry-Franco,
Grétry-Franco,COMPOSITOR,Grétry-Franco,,Combinación de artistas,
Grünfeld,COMPOSITOR,Grünfeld,,Extraído de combinación: Strauss-Grünfeld,
Guerini,COMPOSITOR,Guerini,,,
Guiraud,COMPOSITOR,Guiraud,Director/Compositor,,
Gustavo Pittaluga,COMPOSITOR,Gustavo Pittaluga,,,
H. T. Burleigh,COMPOSITOR,H. T. Burleigh,,,
Hector Berlioz,COMPOSITOR,Hector Berlioz,,,
Henri Rabaud,COMPOSITOR,Henri Rabaud,,,
Henri Vieuxtemps,COMPOSITOR,Henri Vieuxtemps,,,
Henryk Wieniawski,COMPOSITOR,Henryk Wieniawski,,,
Hubay,COMPOSITOR,Hubay,,,
Hubert Cuypers,COMPOSITOR,Hubert Cuypers,,,
Hue,COMPOSITOR,Hue,,,
Hummel,COMPOSITOR,Hummel,,,
Ibert,COMPOSITOR,Ibert,,,
Igor Stravinsky,COMPOSITOR,Igor Stravinsky,,,
Infante,COMPOSITOR,Infante,,,
Isaac Albéniz,COMPOSITOR,Isaac Albéniz,,,
J. S. Bach,COMPOSITOR,J. S. Bach,,,
Jacinto Guerrero,COMPOSITOR,Jacinto Guerrero,,,
Jacques Offenbach,COMPOSITOR,Jacques Offenbach,,,
Jean Sibelius,COMPOSITOR,Jean Sibelius,,,
Jean-Philippe Rameau,COMPOSITOR,Jean-Philippe Rameau,,,
Jerónimo Giménez,COMPOSITOR,Jerónimo Giménez,,,
Jerónimo Velasco,COMPOSITOR,Jerónimo Velasco,,,
Jesús Guridi,COMPOSITOR,Jesús Guridi,,,
Joachim Raff,COMPOSITOR,Joachim Raff,,,
Joaquín Nin,COMPOSITOR,Joaquín Nin,,,
Joaquín Rodrigo,COMPOSITOR,Joaquín Rodrigo,,,
Joaquín Turina,COMPOSITOR,Joaquín Turina,,,
Johann Christian Bach,COMPOSITOR,Johann Christian Bach,,,
Johann Sebastian Bach,COMPOSITOR,Johann Sebastian Bach,,,
Johannes Brahms,COMPOSITOR,Johannes Brahms,,,
Jongen,COMPOSITOR,Jongen,,,Joseph Jongen
Jose María Rodrigo,COMPOSITOR,Jose María Rodrigo,,,
Joseph Haydn,COMPOSITOR,Joseph Haydn,,,
José Forns,COMPOSITOR,José Forns,,,
José María Usandizaga,COMPOSITOR,José María Usandizaga,,,
Juan de la Encina,COMPOSITOR,Juan de la Encina,,,
Juan González,COMPOSITOR,Juan González,,,
Juan Guerrero,COMPOSITOR,Juan Guerrero,,,
Juan José Mantecón,COMPOSITOR,Juan José Mantecón,,,
Juan Manén,COMPOSITOR,Juan Manén,,,
Juan Vert,COMPOSITOR,Juan Vert,,,
Jules Massenet,COMPOSITOR,Jules Massenet,,,
Julio Francés,COMPOSITOR,Julio Francés,,,
Julio Gómez,COMPOSITOR,Julio Gómez,,,
Julián Bautista,COMPOSITOR,Julián Bautista,,,
Kerll,COMPOSITOR,Kerll,,,
Klengel,COMPOSITOR,Klengel,,,
Kochangsky,COMPOSITOR,Kochangsky,,,
Kreisler,COMPOSITOR,Kreisler,,Extraído de combinación: Francoeur-Kreisler,
Laserna,COMPOSITOR,Laserna,,,
Lawrence Brown,COMPOSITOR,Lawrence Brown,,,
Leo Delibes,COMPOSITOR,Leo Delibes,,,
Leo Fall,COMPOSITOR,Leo Fall,,,
Leo Weiner,COMPOSITOR,Leo Weiner,,,
Lhotka,COMPOSITOR,Lhotka,,,
Liadow,COMPOSITOR,Liadow,,,
Liapunov,COMPOSITOR,Liapunov,,,
Lionel Monckton,COMPOSITOR,Lionel Monckton,,,
Liszt,COMPOSITOR,Liszt,,Extraído de combinación: Chopin-Liszt,Franz Liszt
Literes,COMPOSITOR,Literes,,,
Locatelli,COMPOSITOR,Locatelli,,,
Loeillet,COMPOSITOR,Loeillet,,,
Louis Aubert,COMPOSITOR,Louis Aubert,,,
Ludwig van Beethoven,COMPOSITOR,Ludwig van Beethoven,,,
Luis Milán,COMPOSITOR,Luis Milán,,,
Mahler,COMPOSITOR,Mahler,Director/Compositor,,
Mainardi,COMPOSITOR,Mainardi,,,
Malipiero,COMPOSITOR,Malipiero,,,
Mangiagalli,COMPOSITOR,Mangiagalli,,,
Manuel de Falla,COMPOSITOR,Manuel de Falla,,Extraído de combinación: Bartolomé Pérez Casas / Manuel de Falla,
Manuel Fernández Caballero,COMPOSITOR,Manuel Fernández Caballero,,,
Marc-Antoine Charpentier,COMPOSITOR,Marc-Antoine Charpentier,,,
Marsick,COMPOSITOR,Marsick,,,
Martínez Díaz,COMPOSITOR,Martínez Díaz,,,
María de Pablos,COMPOSITOR,María de Pablos,,,
María Gar,COMPOSITOR,María Gar,,,
María Rodrigo,COMPOSITOR,María Rodrigo,,,Jose María Rodrigo
Mateo Albéniz,COMPOSITOR,Mateo Albéniz,,,
Mateo H. Barroso,COMPOSITOR,Mateo H. Barroso,,,
Maurice Ravel,COMPOSITOR,Maurice Ravel,,,
Max Bruch,COMPOSITOR,Max Bruch,,,
Max Reger,COMPOSITOR,Max Reger,,,
Mendelssohn,COMPOSITOR,Mendelssohn,,Extraído de combinación: Mendelssohn-Liszt,Felix Mendelssohn
Mendelssohn-Liszt,COMPOSITOR,Mendelssohn-Liszt,,Combinación de artistas,
Millán,COMPOSITOR,Millán,,,
Modest Mussorgsky,COMPOSITOR,Modest Mussorgsky,,,
Monasterio,COMPOSITOR,Monasterio,,,
Mussorgsky,COMPOSITOR,Mussorgsky,,Extraído de combinación: Bartók / Mussorgsky,Modest Mussorgsky
Mª Luisa Chevalier,COMPOSITOR,Mª Luisa Chevalier,,,
Nadia Boulanger,COMPOSITOR,Nadia Boulanger,,,
Nardini,COMPOSITOR,Nardini,,,
Narváez,COMPOSITOR,Narváez,,,
Niccolò Paganini,COMPOSITOR,Niccolò Paganini,,,
Novak,COMPOSITOR,Novak,,,
Oscar Fetras,COMPOSITOR,Oscar Fetras,,,
Oscar Straus,COMPOSITOR,Oscar Straus,,,
Otto Nicolai,COMPOSITOR,Otto Nicolai,,,
Ottorino Respighi,COMPOSITOR,Ottorino Respighi,,,
P. San Sebastián,COMPOSITOR,P. San Sebastián,,,
Pablo Luna,COMPOSITOR,Pablo Luna,,,
Pablo Sorozábal,COMPOSITOR,Pablo Sorozábal,,,
Paco González del Toro,COMPOSITOR,Paco González del Toro,,,
Padre Otaño,COMPOSITOR,Padre Otaño,,,
Paul Dukas,COMPOSITOR,Paul Dukas,,,
Pedro San Juan,COMPOSITOR,Pedro San Juan,,,
Philippe Rameau,COMPOSITOR,Philippe Rameau,,Extraído de combinación: Jean-Philippe Rameau,
Pierné,COMPOSITOR,Pierné,,,
Pietro Mascagni,COMPOSITOR,Pietro Mascagni,,,
Ponce,COMPOSITOR,Ponce,,,
Prokofiev,COMPOSITOR,Prokofiev,,,
Pugnani,COMPOSITOR,Pugnani,,Extraído de combinación: Pugnani-Kreisler,
Pugnani-Kreisler,COMPOSITOR,Pugnani-Kreisler,,Combinación de artistas,
Purcell,COMPOSITOR,Purcell,,,
Pyotr Ilyich Tchaikovsky,COMPOSITOR,Pyotr Ilyich Tchaikovsky,,,
Rebollo,COMPOSITOR,Rebollo,,,
Reveriano Soutullo,COMPOSITOR,Reveriano Soutullo,,,
Ricardo de la Villa,COMPOSITOR,Ricardo de la Villa,,,
Richard Strauss,COMPOSITOR,Richard Strauss,,,
Richard Wagner,COMPOSITOR,Richard Wagner,,,
Rimsky-Korsakov,COMPOSITOR,Rimsky-Korsakov,,,
Robert Schumann,COMPOSITOR,Robert Schumann,,,
Rodolfo Halffter,COMPOSITOR,Rodolfo Halffter,,,
Rosa García Ascot,COMPOSITOR,Rosa García Ascot,,,
Ruggero Leoncavallo,COMPOSITOR,Ruggero Leoncavallo,,,
Ruperto Chapí,COMPOSITOR,Ruperto Chapí,,,
Salvador Bacarisse,COMPOSITOR,Salvador Bacarisse,,,
Sarasate,COMPOSITOR,Sarasate,,,
Saverio Mercadante,COMPOSITOR,Saverio Mercadante,,,
Schmitt,COMPOSITOR,Schmitt,,,
Schubert,COMPOSITOR,Schubert,,,Franz Schubert
Schubert y Richard Strauss,COMPOSITOR,Schubert y Richard Strauss,,,
Schubert-Liszt,COMPOSITOR,Schubert-Liszt,,Combinación de artistas,
Scriabin,COMPOSITOR,Scriabin,,,
Sergei Bortkiewicz,COMPOSITOR,Sergei Bortkiewicz,,,
Sergei Rachmaninov,COMPOSITOR,Sergei Rachmaninov,,,
Smetana,COMPOSITOR,Smetana,,,
Sokoloff,COMPOSITOR,Sokoloff,,Extraído de combinación: Glinka-Sokoloff,
Sor,COMPOSITOR,Sor,,,
Strauss,COMPOSITOR,Strauss,,Extraído de combinación: Strauss-Grünfeld,
Strauss-Grünfeld,COMPOSITOR,Strauss-Grünfeld,,Combinación de artistas,
Stumpf,COMPOSITOR,Stumpf,,,
Svendsen,COMPOSITOR,Svendsen,,,
Szymanowski,COMPOSITOR,Szymanowski,,,
Szymanowsky,COMPOSITOR,Szymanowsky,,,Szymanowski
Sáez Ferrer,COMPOSITOR,Sáez Ferrer,,,
Tartini,COMPOSITOR,Tartini,,,
Tartini-Kreisler,COMPOSITOR,Tartini-Kreisler,,Combinación de artistas,
Tausig,COMPOSITOR,Tausig,piano,,
Tomás Bretón,COMPOSITOR,Tomás Bretón,,,
Torelli,COMPOSITOR,Torelli,,,
Turina,COMPOSITOR,Turina,,,Joaquín Turina
Tárrega,COMPOSITOR,Tárrega,,,
Umberto Giordano,COMPOSITOR,Umberto Giordano,,,
Valdés,COMPOSITOR,Valdés,,,
Valentín,COMPOSITOR,Valentín,,,Valentín Martín
Veracini,COMPOSITOR,Veracini,,,
Victor Jacobi,COMPOSITOR,Victor Jacobi,,,
Vincent D'Indy,COMPOSITOR,Vincent D'Indy,,,
Vincenzo Bellini,COMPOSITOR,Vincenzo Bellini,,,
Viotti,COMPOSITOR,Viotti,,,
Wagner,COMPOSITOR,Wagner,,Extraído de combinación: Wagner-Wilhelmj,Richard Wagner
Wagner-Wilhelmj,COMPOSITOR,Wagner-Wilhelmj,,Combinación de artistas,
Waldo-Wagner,COMPOSITOR,Waldo-Wagner,,Combinación de artistas,
Widor,COMPOSITOR,Widor,,,
Wilhelmj,COMPOSITOR,Wilhelmj,,Extraído de combinación: Wagner-Wilhelmj,
Wilhelmy,COMPOSITOR,Wilhelmy,,Extraído de combinación: Chopin-Wilhelmy,
Wolf,COMPOSITOR,Wolf,,,Erick Wolf Strauss
Wolff,COMPOSITOR,Wolff,,,
Wolfgang Amadeus Mozart,COMPOSITOR,Wolfgang Amadeus Mozart,,,
Ysaÿe,COMPOSITOR,Ysaÿe,,,
Zandonai,COMPOSITOR,Zandonai,Director/Compositor,,
Álvarez Cantos,COMPOSITOR,Álvarez Cantos,,,
Óscar Esplá,COMPOSITOR,Óscar Esplá,,,
Acevedo,INTERPRETE,Acevedo,director,,
Adolf Sax,INTERPRETE,Adolf Sax,Inventor,,
Adolphe Hallis,INTERPRETE,Adolphe Hallis,Piano,,
Albina Madinaveitia,INTERPRETE,Albina Madinaveitia,Piano,,
Alejandro Alexandrowich,INTERPRETE,Alejandro Alexandrowich,,,
Alejandro Brailowsky,INTERPRETE,Alejandro Brailowsky,piano,,
Alejandro Uninsky,INTERPRETE,Alejandro Uninsky,Piano,,
Alma Moodie,INTERPRETE,Alma Moodie,Violín,,
Amparo Fuster,INTERPRETE,Amparo Fuster,Piano,,
Amparo Ripollés,INTERPRETE,Amparo Ripollés,Piano,,
Ana García Canden,INTERPRETE,Ana García Canden,Piano,,
Ana Mesvitz,INTERPRETE,Ana Mesvitz,Violín,,
Andrés Segovia,INTERPRETE,Andrés Segovia,guitarra,,
Antonia Beltrán Collado,INTERPRETE,Antonia Beltrán Collado,Piano,,
"Antonia Mercé ""La Argentina""",INTERPRETE,Antonia Mercé,Bailarina,Apodo: La Argentina,
Antonio Alvira,INTERPRETE,Antonio Alvira,Violín,,
Antonio Cuadra Román,INTERPRETE,Antonio Cuadra Román,Violín,,
Antonio Lucas Moreno,INTERPRETE,Antonio Lucas Moreno,,,
Antonio Piedra,INTERPRETE,Antonio Piedra,Violín,,
Antonio Sala,INTERPRETE,Antonio Sala,,,
Aquilino,INTERPRETE,Aquilino,Saxofón,,
Argentina Pizarro,INTERPRETE,Argentina Pizarro,Orquesta,,
Arnold Foldessy,INTERPRETE,Arnold Foldessy,Violonchelo,,
Arturo Saco del Valle,INTERPRETE,Arturo Saco del Valle,Director,,
Arturo Schnabel,INTERPRETE,Arturo Schnabel,Piano,,
Artys,INTERPRETE,Artys,Orquesta,,
Ataulfo Argenta,INTERPRETE,Ataulfo Argenta,Piano,,
Aureliano Izquiano,INTERPRETE,Aureliano Izquiano,Piano,,
Aurora Imperio,INTERPRETE,Aurora Imperio,Bailarina,,
Barend Bos,INTERPRETE,Barend Bos,Violonchelo,,
Bartolomé Pérez Casas,INTERPRETE,Bartolomé Pérez Casas,Director,,
Benno Moiseiwitsch,INTERPRETE,Benno Moiseiwitsch,Piano,,
Berki,INTERPRETE,Berki,Orquesta,,
Blanca Negri,INTERPRETE,Blanca Negri,Artista,,
Blanca Selva,INTERPRETE,Blanca Selva,Piano,,
Blecher,INTERPRETE,Blecher,Violín,Extraído de combinación: Trude Armbruster-Blecher,
Borowsky,INTERPRETE,Borowsky,Piano,,
Bronislaw Huberman,INTERPRETE,Bronislaw Huberman,Violín,,
Bruno Walter,INTERPRETE,Bruno Walter,Director,,
Cab,INTERPRETE,Cab,Orquesta,Extraído de combinación: Cab-Callo,
Cab-Callo,INTERPRETE,Cab-Callo,Orquesta,Combinación de artistas,
Callo,INTERPRETE,Callo,Orquesta,Extraído de combinación: Cab-Callo,
Cano,INTERPRETE,Cano,Director,,Teresa Pérez Cano
Capilla Real de Viena,INTERPRETE,Capilla Real de Viena,,,
Carlos Alwin,INTERPRETE,Carlos Alwin,Piano,,
Carlos Verdeal,INTERPRETE,Carlos Verdeal,Guitarra,,
Carlos y Giocasta K. Corma,INTERPRETE,Carlos y Giocasta K. Corma,,,
Carlota Dahmen,INTERPRETE,Carlota Dahmen,,Extraído de combinación: Carlota Dahmen-Chao,
Carlota Dahmen-Chao,INTERPRETE,Carlota Dahmen-Chao,,,
Carmen Flores,INTERPRETE,Carmen Flores,Piano,,
Carmen Mingacho,INTERPRETE,Carmen Mingacho,Piano,,
Carmen Vargas,INTERPRETE,Carmen Vargas,Bailarina,,
Carolina Duplán,INTERPRETE,Carolina Duplán,Piano,,
Castillian,INTERPRETE,Castillian,Orquesta,,
Catalina Peczenik,INTERPRETE,Catalina Peczenik,Piano,,
Celia Gámez,INTERPRETE,Celia Gámez,Actriz/cantante,,
Chavarri,INTERPRETE,Chavarri,director,,
Christiansen,INTERPRETE,Christiansen,,,
Cipriano Rivas Cheriff,INTERPRETE,Cipriano Rivas Cheriff,Escritor,,
Claudio Arrau,INTERPRETE,Claudio Arrau,Piano,,
Conchita Leonardo,INTERPRETE,Conchita Leonardo,Vedette,,
Concierto Sacro,INTERPRETE,Concierto Sacro,Coro,,
Crabbé,INTERPRETE,Crabbé,Barítono,,
Cumellas,INTERPRETE,Cumellas,Piano,,
Dajos Vela,INTERPRETE,Dajos Vela,Director,,
Daniel Arnau,INTERPRETE,Daniel Arnau,Guitarra,,
Daniel Fortea,INTERPRETE,Daniel Fortea,Guitarra,,
Defauw,INTERPRETE,Defauw,Director,,
Dette Schuman,INTERPRETE,Dette Schuman,Director,,
Eduardo Erdmann,INTERPRETE,Eduardo Erdmann,Piano,,
Eduardo Hernández,INTERPRETE,Eduardo Hernández,Violín,,
Eduardo Martínez Torner,INTERPRETE,Eduardo Martínez Torner,Folklorista,,
Eduardo Zamacois,INTERPRETE,Eduardo Zamacois,Piano,,
Elena Gerhardt,INTERPRETE,Elena Gerhardt,Mezzosoprano,,
Elena Romero,INTERPRETE,Elena Romero,Piano,,
Elisabeth Schumann,INTERPRETE,Elisabeth Schumann,Soprano,,
Eliseo Grenet,INTERPRETE,Eliseo Grenet,Piano,,
Emisora de Lausanne,INTERPRETE,Emisora de Lausanne,Orquesta,,
Emmy Kruger,INTERPRETE,Emmy Kruger,,,
Encarnita Segura,INTERPRETE,Encarnita Segura,Piano,,
Enrique Aroca,INTERPRETE,Enrique Aroca,Piano,,
Enrique Blancard,INTERPRETE,Enrique Blancard,,,
Enrique Iniesta,INTERPRETE,Enrique Iniesta,Violín,,
Enrique Luzuriaga,INTERPRETE,Enrique Luzuriaga,Piano,,
Enriqueta Laborde,INTERPRETE,Enriqueta Laborde,Piano,,
Erich Kleiber,INTERPRETE,Erich Kleiber,Director,,
Erika Morini,INTERPRETE,Erika Morini,,,
Erna Rubinstein,INTERPRETE,Erna Rubinstein,,,
Ernesto Halffter,INTERPRETE,Ernesto Halffter,Director,,
Esteban Martínez,INTERPRETE,Esteban Martínez,Guitarra,,
Estela,INTERPRETE,Estela,director,,
Estrella Sacristán,INTERPRETE,Estrella Sacristán,Piano,,
Ethel Hobday,INTERPRETE,Ethel Hobday,,,
Eugenio Casals,INTERPRETE,Eugenio Casals,Director,,
Fagoaga,INTERPRETE,Fagoaga,director,,
Federico Contreras,INTERPRETE,Federico Contreras,Piano,,
Felix Hupka,INTERPRETE,Felix Hupka,Piano,,
Ferenc de Vecsey,INTERPRETE,Ferenc de Vecsey,Violín,,
Fermín Fernández Ortíz,INTERPRETE,Fermín Fernández Ortíz,Violín,,
Fernando Collado,INTERPRETE,Fernando Collado,Piano,,
Fernando Ember,INTERPRETE,Fernando Ember,Piano,,
Fernando Vilches,INTERPRETE,Fernando Vilches,Saxofón,,
Fernández Arbós,INTERPRETE,Fernández Arbós,"Director, Violín",,
Fernández Bordas,INTERPRETE,Fernández Bordas,Violín,,
Franco Allano,INTERPRETE,Franco Allano,Director,,
Frank Marshall,INTERPRETE,Frank Marshall,piano,,
Franz Osborn,INTERPRETE,Franz Osborn,Piano,,
Gabiola,INTERPRETE,Gabiola,órgano,,
García Marco,INTERPRETE,García Marco,Violín,,
Gaspar Cassadó,INTERPRETE,Gaspar Cassadó,Violonchelo,,
Gaston Parkington,INTERPRETE,Gaston Parkington,Quinteto,,
Gerhard Maass,INTERPRETE,Gerhard Maass,Piano,,
Geyer Stefi,INTERPRETE,Geyer Stefi,Violín,,
Gloria de Loizaga,INTERPRETE,Gloria de Loizaga,Piano,,
Gregor Piatigorsky,INTERPRETE,Gregor Piatigorsky,Violonchelo,,
Gregorio Cruz,INTERPRETE,Gregorio Cruz,Violín,,
Gregorio Martínez Sierra,INTERPRETE,Gregorio Martínez Sierra,Escritor,,
"Grock ""El payaso""",INTERPRETE,Grock,Acordeón,Apodo: El payaso,
Guardia Real,INTERPRETE,Guardia Real,Banda,,
Guillermina Suggia,INTERPRETE,Guillermina Suggia,Violonchelo,,
Gustavo Duran,INTERPRETE,Gustavo Duran,barítono,,
Gálvez Bellido,INTERPRETE,Gálvez Bellido,Violonchelo,,
Hans Erich Riebensahm,INTERPRETE,Hans Erich Riebensahm,,,
Harry Elbert,INTERPRETE,Harry Elbert,,,
Harry Lander,INTERPRETE,Harry Lander,Gaita,,
Helge Lindberg,INTERPRETE,Helge Lindberg,,,
Henry Wood,INTERPRETE,Henry Wood,Director,,
Hermanas Lydia y Raya Garlousova,INTERPRETE,Hermanas Lydia y Raya Garlousova,,,
Hispalense,INTERPRETE,Hispalense,Trío,,
Hubermann,INTERPRETE,Hubermann,Violín,,Bronislaw Huberman
Humorist-Jazz,INTERPRETE,Humorist-Jazz,Orquesta,Combinación de artistas,
Ibarra,INTERPRETE,Ibarra,Orquesta,,
Ignaz Friedman,INTERPRETE,Ignaz Friedman,Piano,,
Inocencio Verdeal,INTERPRETE,Inocencio Verdeal,Gaita,,
Ipana Troubadours,INTERPRETE,Ipana Troubadours,Orquesta,,
Iturbi,INTERPRETE,Iturbi,Piano,,José Iturbi
Ives Nat,INTERPRETE,Ives Nat,Piano,,
Ivonne Canale,INTERPRETE,Ivonne Canale,Violín,,
Jack Payne,INTERPRETE,Jack Payne,Director,,
Jacques Thibaud,INTERPRETE,Jacques Thibaud,Violín,,
Jaime Figueroa,INTERPRETE,Jaime Figueroa,,,
Jascha Heifetz,INTERPRETE,Jascha Heifetz,violín,,
Jascha Spiwakowsky,INTERPRETE,Jascha Spiwakowsky,Violín,,
Jelly d'Aranyi,INTERPRETE,Jelly d'Aranyi,Violín,,
Jesús Fernández Lorenzo,INTERPRETE,Jesús Fernández Lorenzo,Violín,,
Joaquín Fuster,INTERPRETE,Joaquín Fuster,Piano,,
Joaquín Nin,INTERPRETE,Joaquín Nin,Piano,,
Jorge del Moral,INTERPRETE,Jorge del Moral,Piano,,
"Jorge López ""Petaca""",INTERPRETE,Jorge López,Guitarra flamenca,Apodo: Petaca,
Jose Mari,INTERPRETE,Jose Mari,Orquesta,,
Jose María Franco,INTERPRETE,Jose María Franco,"Director, Piano",,Jose Mª Franco
Jose Mª Franco,INTERPRETE,Jose Mª Franco,"Director, Piano",,
Josefina Ribera,INTERPRETE,Josefina Ribera,Violín,,
Josefina Toharia,INTERPRETE,Josefina Toharia,Piano,,
Joseph Jongen,INTERPRETE,Joseph Jongen,Director,,
Joseph Szigeti,INTERPRETE,Joseph Szigeti,Violín,,
Josephine Baker,INTERPRETE,Josephine Baker,Artista,,
José Cubiles,INTERPRETE,José Cubiles,Piano,,
José Fernández Lorenzo,INTERPRETE,José Fernández Lorenzo,Violín,,
José Franco,INTERPRETE,José Franco,Piano,,
José Iturbi,INTERPRETE,José Iturbi,Piano,,
José Lasalle,INTERPRETE,José Lasalle,Director,,
José Lhevinne,INTERPRETE,José Lhevinne,Piano,,
José Marcellán,INTERPRETE,José Marcellán,Archivero,,
José María Casanova,INTERPRETE,José María Casanova,Violín,,
José Subirá,INTERPRETE,José Subirá,Crítico musical,,
Juan Darre,INTERPRETE,Juan Darre,,,
Juan Gorostidi,INTERPRETE,Juan Gorostidi,Director,,
Juan Masia,INTERPRETE,Juan Masia,,,
Juan Quintero,INTERPRETE,Juan Quintero,,,
Juan Ruiz Casaux,INTERPRETE,Juan Ruiz Casaux,Violonchelo,,
Juana Gantrei,INTERPRETE,Juana Gantrei,Violín,,
Juana María Paullau,INTERPRETE,Juana María Paullau,Piano,,
Judit Bokkor,INTERPRETE,Judit Bokkor,,,
Julia del Castillo,INTERPRETE,Julia del Castillo,Piano,,
Julio Francés,INTERPRETE,Julio Francés,Violín,,
Julio Godard,INTERPRETE,Julio Godard,,,
June Rollar,INTERPRETE,June Rollar,Piano,,
Karl Kist,INTERPRETE,Karl Kist,Director,,
Karl Muck,INTERPRETE,Karl Muck,Director,,
Karol Szreter,INTERPRETE,Karol Szreter,,,
Karona,INTERPRETE,Karona,Bailarina,,
Kochansky,INTERPRETE,Kochansky,Violín,,
Kunsti,INTERPRETE,Kunsti,Director,,
